time,open,high,low,close,vol,mount
2014/04/16 09:15:00.000,2233.6,2234.6,2233.6,2233.6,257,55550
2014/04/16 09:15:00.100,2233.4,2233.6,2233.4,2233.4,22,55556
2014/04/16 09:15:00.600,2232.6,2234.2,2233.8,2232.6,430,55735
2014/04/16 09:15:01.100,2234.4,2234.6,2234.2,2234.4,162,55767
2014/04/16 09:15:01.600,2234.0,2234.4,2233.8,2234.0,126,55742
2014/04/16 09:15:02.100,2234.0,2234.2,2234.0,2234.0,113,55739
2014/04/16 09:15:02.600,2234.4,2234.4,2234.2,2234.4,57,55738
2014/04/16 09:15:03.100,2234.0,2234.0,2233.6,2234.0,71,55728
2014/04/16 09:15:03.600,2234.2,2234.2,2234.0,2234.2,33,55720
2014/04/16 09:15:04.100,2234.6,2234.6,2234.4,2234.6,52,55718
2014/04/16 09:15:04.600,2234.8,2234.8,2234.6,2234.8,42,55714
2014/04/16 09:15:05.100,2235.0,2235.0,2234.8,2235.0,43,55705
2014/04/16 09:15:05.600,2235.2,2235.2,2235.0,2235.2,36,55708
2014/04/16 09:15:06.100,2235.2,2235.4,2235.2,2235.2,51,55740
2014/04/16 09:15:06.600,2235.6,2235.6,2235.4,2235.6,30,55747
2014/04/16 09:15:07.100,2235.8,2235.8,2235.4,2235.8,40,55738
2014/04/16 09:15:07.600,2235.4,2235.4,2235.2,2235.4,14,55737
2014/04/16 09:15:08.100,2235.4,2235.2,2234.8,2235.4,56,55749
2014/04/16 09:15:08.600,2234.8,2235.0,2234.8,2234.8,15,55753
2014/04/16 09:15:09.100,2234.8,2234.8,2234.6,2234.8,48,55780
2014/04/16 09:15:09.600,2234.6,2234.6,2234.2,2234.6,35,55807
2014/04/16 09:15:10.100,2234.2,2234.2,2234.0,2234.2,64,55815
2014/04/16 09:15:10.600,2234.0,2234.0,2233.8,2234.0,38,55799
2014/04/16 09:15:11.100,2234.0,2234.2,2234.0,2234.0,35,55788
2014/04/16 09:15:11.600,2234.0,2234.0,2233.6,2234.0,50,55753
2014/04/16 09:15:12.100,2233.6,2234.0,2233.6,2233.6,65,55741
2014/04/16 09:15:12.600,2233.4,2233.6,2233.4,2233.4,36,55736
2014/04/16 09:15:13.100,2233.4,2234.0,2233.6,2233.4,39,55751
2014/04/16 09:15:13.600,2233.6,2233.6,2233.4,2233.6,18,55759
2014/04/16 09:15:14.100,2233.4,2233.4,2233.2,2233.4,14,55752
2014/04/16 09:15:14.600,2233.4,2233.2,2233.0,2233.4,22,55759
2014/04/16 09:15:15.100,2233.0,2233.4,2233.0,2233.0,45,55767
2014/04/16 09:15:15.600,2233.2,2233.6,2233.2,2233.2,33,55750
2014/04/16 09:15:16.100,2232.8,2232.8,2232.6,2232.8,69,55696
2014/04/16 09:15:16.600,2233.0,2233.0,2232.8,2233.0,35,55690
2014/04/16 09:15:17.100,2232.8,2233.0,2232.8,2232.8,43,55683
2014/04/16 09:15:17.600,2233.2,2233.2,2233.0,2233.2,36,55694
2014/04/16 09:15:18.100,2233.0,2233.2,2233.0,2233.0,33,55703
2014/04/16 09:15:18.600,2233.0,2233.0,2232.8,2233.0,69,55745
2014/04/16 09:15:19.100,2232.8,2232.8,2232.6,2232.8,76,55714
2014/04/16 09:15:19.600,2232.4,2232.6,2232.4,2232.4,29,55714
2014/04/16 09:15:20.100,2232.4,2232.8,2232.6,2232.4,61,55734
2014/04/16 09:15:20.600,2232.8,2232.8,2232.2,2232.8,53,55723
2014/04/16 09:15:21.100,2232.6,2232.6,2232.4,2232.6,23,55729
2014/04/16 09:15:21.600,2232.2,2232.6,2232.2,2232.2,17,55729
2014/04/16 09:15:22.100,2232.2,2232.2,2232.0,2232.2,29,55714
2014/04/16 09:15:22.600,2232.0,2232.6,2232.4,2232.0,72,55686
2014/04/16 09:15:23.100,2232.6,2232.8,2232.6,2232.6,58,55686
2014/04/16 09:15:23.600,2232.6,2232.6,2232.2,2232.6,70,55709
2014/04/16 09:15:24.100,2232.4,2232.8,2232.6,2232.4,17,55704
2014/04/16 09:15:24.600,2232.8,2232.6,2232.2,2232.8,36,55702
2014/04/16 09:15:25.100,2232.6,2232.6,2232.2,2232.6,10,55703
2014/04/16 09:15:25.600,2232.6,2232.6,2232.2,2232.6,26,55708
2014/04/16 09:15:26.100,2232.6,2232.8,2232.6,2232.6,9,55710
2014/04/16 09:15:26.600,2232.6,2232.8,2232.6,2232.6,22,55718
2014/04/16 09:15:27.100,2232.6,2232.8,2232.6,2232.6,46,55708
2014/04/16 09:15:27.600,2232.8,2232.8,2232.6,2232.8,17,55698
2014/04/16 09:15:28.100,2232.6,2232.8,2232.6,2232.6,30,55683
2014/04/16 09:15:28.600,2232.8,2233.0,2232.8,2232.8,35,55692
2014/04/16 09:15:29.100,2232.8,2233.2,2232.8,2232.8,40,55693
2014/04/16 09:15:29.600,2232.8,2233.2,2232.8,2232.8,9,55689
2014/04/16 09:15:30.100,2233.0,2233.2,2233.0,2233.0,20,55688
2014/04/16 09:15:30.600,2233.0,2233.2,2233.0,2233.0,9,55688
2014/04/16 09:15:31.100,2233.4,2233.4,2233.2,2233.4,15,55690
2014/04/16 09:15:31.600,2233.2,2233.6,2233.4,2233.2,7,55696
2014/04/16 09:15:32.100,2233.4,2233.4,2233.2,2233.4,12,55701
2014/04/16 09:15:32.600,2233.4,2233.4,2233.2,2233.4,27,55723
2014/04/16 09:15:33.100,2233.4,2233.4,2233.2,2233.4,16,55724
2014/04/16 09:15:33.600,2233.4,2233.4,2233.2,2233.4,27,55718
2014/04/16 09:15:34.100,2233.2,2233.4,2233.0,2233.2,12,55720
2014/04/16 09:15:34.600,2233.4,2233.4,2233.0,2233.4,9,55720
2014/04/16 09:15:35.100,2233.0,2233.2,2233.0,2233.0,4,55718
2014/04/16 09:15:35.600,2233.4,2233.4,2233.0,2233.4,6,55715
2014/04/16 09:15:36.100,2233.0,2233.2,2233.0,2233.0,3,55716
2014/04/16 09:15:36.600,2233.2,2233.4,2233.2,2233.2,60,55727
2014/04/16 09:15:37.100,2233.0,2233.2,2233.0,2233.0,21,55736
2014/04/16 09:15:37.600,2233.2,2233.4,2233.2,2233.2,7,55736
2014/04/16 09:15:38.100,2233.2,2233.4,2233.2,2233.2,6,55732
2014/04/16 09:15:38.600,2233.0,2233.4,2233.0,2233.0,26,55736
2014/04/16 09:15:39.100,2233.2,2233.4,2233.2,2233.2,8,55738
2014/04/16 09:15:39.600,2233.2,2233.2,2233.0,2233.2,10,55744
2014/04/16 09:15:40.100,2233.2,2233.2,2233.0,2233.2,10,55747
2014/04/16 09:15:40.600,2233.4,2233.4,2233.2,2233.4,34,55752
2014/04/16 09:15:41.100,2233.2,2233.2,2233.0,2233.2,97,55843
2014/04/16 09:15:41.600,2233.2,2233.4,2233.2,2233.2,56,55865
2014/04/16 09:15:42.100,2233.2,2233.4,2233.2,2233.2,5,55868
2014/04/16 09:15:42.600,2233.4,2233.4,2233.0,2233.4,11,55874
2014/04/16 09:15:43.100,2233.2,2233.4,2233.2,2233.2,6,55874
2014/04/16 09:15:43.600,2233.2,2233.4,2233.0,2233.2,8,55875
2014/04/16 09:15:44.100,2233.4,2233.4,2233.0,2233.4,24,55898
2014/04/16 09:15:44.600,2233.0,2233.0,2232.8,2233.0,30,55891
2014/04/16 09:15:45.100,2233.4,2233.4,2233.0,2233.4,14,55896
2014/04/16 09:15:45.600,2233.4,2233.4,2233.2,2233.4,4,55897
2014/04/16 09:15:46.100,2233.4,2233.6,2233.4,2233.4,10,55899
2014/04/16 09:15:46.600,2233.4,2233.4,2232.8,2233.4,34,55920
2014/04/16 09:15:47.100,2233.0,2233.4,2233.0,2233.0,27,55942
2014/04/16 09:15:47.600,2233.4,2233.4,2233.2,2233.4,9,55942
2014/04/16 09:15:48.100,2233.4,2233.4,2233.2,2233.4,14,55938
2014/04/16 09:15:48.600,2233.0,2233.4,2233.0,2233.0,8,55940
2014/04/16 09:15:49.100,2233.4,2233.4,2233.0,2233.4,4,55943
2014/04/16 09:15:49.600,2233.4,2233.4,2233.0,2233.4,2,55944
2014/04/16 09:15:50.100,2233.0,2233.4,2233.0,2233.0,45,55982
2014/04/16 09:15:50.600,2233.4,2233.2,2233.0,2233.4,34,55992
2014/04/16 09:15:51.100,2233.0,2233.2,2233.0,2233.0,4,55993
2014/04/16 09:15:51.600,2233.4,2233.6,2233.4,2233.4,35,56010
2014/04/16 09:15:52.100,2233.4,2233.6,2233.4,2233.4,11,56008
2014/04/16 09:15:52.600,2233.2,2233.4,2233.0,2233.2,7,56007
2014/04/16 09:15:53.100,2233.4,2233.4,2233.0,2233.4,13,55997
2014/04/16 09:15:53.600,2233.0,2233.4,2233.0,2233.0,8,55992
