<Date>, <Time>, <Price>, <Volume>
2014/4/16,9:16:19,2232.2,29
2014/4/16,9:16:19,2232.2,3
2014/4/16,9:16:20,2232.2,13
2014/4/16,9:16:20,2232.2,14
2014/4/16,9:16:21,2232.4,26
2014/4/16,9:16:21,2232.2,39
2014/4/16,9:16:22,2232.2,22
2014/4/16,9:16:22,2232.2,8
2014/4/16,9:16:23,2232.0,6
2014/4/16,9:16:23,2232.0,71
2014/4/16,9:16:24,2232.0,11
2014/4/16,9:16:24,2232.0,26
2014/4/16,9:16:25,2232.0,34
2014/4/16,9:16:25,2232.0,17
2014/4/16,9:16:26,2232.0,29
2014/4/16,9:16:26,2232.0,34
2014/4/16,9:16:27,2232.2,10
2014/4/16,9:16:27,2232.2,9
2014/4/16,9:16:28,2232.0,12
2014/4/16,9:16:28,2232.2,7
2014/4/16,9:16:29,2232.0,14
2014/4/16,9:16:29,2232.2,12
2014/4/16,9:16:30,2232.4,108
2014/4/16,9:16:30,2232.0,30
2014/4/16,9:16:31,2232.0,146
2014/4/16,9:16:31,2232.0,57
2014/4/16,9:16:32,2231.8,55
2014/4/16,9:16:32,2232.0,19
2014/4/16,9:16:33,2232.2,18
2014/4/16,9:16:33,2232.4,19
2014/4/16,9:16:34,2232.4,26
2014/4/16,9:16:34,2232.2,12
2014/4/16,9:16:35,2232.4,30
2014/4/16,9:16:35,2232.0,40
2014/4/16,9:16:36,2232.0,19
2014/4/16,9:16:36,2232.0,16
2014/4/16,9:16:37,2232.0,12
2014/4/16,9:16:37,2231.8,10
2014/4/16,9:16:38,2232.0,3
2014/4/16,9:16:38,2232.0,6
2014/4/16,9:16:39,2231.8,7
2014/4/16,9:16:39,2232.0,9
2014/4/16,9:16:40,2231.8,8
2014/4/16,9:16:40,2232.0,27
2014/4/16,9:16:41,2231.8,14
2014/4/16,9:16:41,2231.8,9
2014/4/16,9:16:42,2231.8,13
2014/4/16,9:16:42,2231.8,17
2014/4/16,9:16:43,2231.8,4
2014/4/16,9:16:43,2231.8,18
2014/4/16,9:16:44,2231.8,11
2014/4/16,9:16:44,2231.8,14
2014/4/16,9:16:45,2231.8,26
2014/4/16,9:16:45,2231.6,8
2014/4/16,9:16:46,2231.8,42
2014/4/16,9:16:46,2231.4,123
2014/4/16,9:16:47,2231.4,25
2014/4/16,9:16:47,2231.6,15
2014/4/16,9:16:48,2231.4,60
2014/4/16,9:16:48,2231.4,34
2014/4/16,9:16:49,2231.4,15
2014/4/16,9:16:49,2231.2,33
2014/4/16,9:16:50,2231.2,26
2014/4/16,9:16:50,2231.0,13
2014/4/16,9:16:51,2231.2,55
2014/4/16,9:16:51,2231.0,25
2014/4/16,9:16:52,2231.2,34
2014/4/16,9:16:52,2231.2,19
2014/4/16,9:16:53,2231.2,14
2014/4/16,9:16:53,2231.2,34
2014/4/16,9:16:54,2231.2,34
2014/4/16,9:16:54,2231.2,14
2014/4/16,9:16:55,2231.6,10
2014/4/16,9:16:55,2231.4,60
2014/4/16,9:16:56,2231.4,9
2014/4/16,9:16:56,2231.4,60
2014/4/16,9:16:57,2231.4,22
2014/4/16,9:16:57,2231.4,26
2014/4/16,9:16:58,2231.4,30
2014/4/16,9:16:58,2231.6,4
2014/4/16,9:16:59,2231.4,21
2014/4/16,9:16:59,2231.4,10
2014/4/16,9:17:00,2231.8,12
2014/4/16,9:17:00,2231.4,27
2014/4/16,9:17:01,2231.8,27
2014/4/16,9:17:01,2231.6,41
2014/4/16,9:17:02,2231.6,6
2014/4/16,9:17:02,2231.8,12
2014/4/16,9:17:03,2231.6,9
2014/4/16,9:17:03,2231.8,10
2014/4/16,9:17:04,2232.0,5
2014/4/16,9:17:04,2232.0,26
2014/4/16,9:17:05,2231.6,54
2014/4/16,9:17:05,2232.0,15
2014/4/16,9:17:06,2232.0,19
2014/4/16,9:17:06,2231.6,47
2014/4/16,9:17:07,2231.8,5
2014/4/16,9:17:07,2231.6,3
2014/4/16,9:17:08,2231.8,18
2014/4/16,9:17:08,2231.8,11
2014/4/16,9:17:09,2231.8,9
2014/4/16,9:17:09,2231.8,2
2014/4/16,9:17:10,2231.6,15
2014/4/16,9:17:10,2231.8,3
2014/4/16,9:17:11,2232.0,11
2014/4/16,9:17:11,2231.8,5
2014/4/16,9:17:12,2231.6,5
2014/4/16,9:17:12,2231.6,72
2014/4/16,9:17:13,2232.0,15
2014/4/16,9:17:13,2231.8,8
2014/4/16,9:17:14,2232.0,7
2014/4/16,9:17:14,2231.8,6
2014/4/16,9:17:15,2231.6,6
2014/4/16,9:17:15,2231.6,9
2014/4/16,9:17:16,2231.8,21
2014/4/16,9:17:16,2231.8,40
2014/4/16,9:17:17,2231.6,13
2014/4/16,9:17:17,2231.6,17
2014/4/16,9:17:18,2232.0,6
2014/4/16,9:17:18,2231.8,8
2014/4/16,9:17:19,2232.0,9
2014/4/16,9:17:19,2231.8,7
2014/4/16,9:17:20,2231.8,5
2014/4/16,9:17:20,2231.8,4
2014/4/16,9:17:21,2231.8,4
2014/4/16,9:17:21,2231.6,20
2014/4/16,9:17:22,2231.6,5
2014/4/16,9:17:22,2231.4,22
2014/4/16,9:17:23,2231.6,4
2014/4/16,9:17:23,2231.6,7
2014/4/16,9:17:24,2231.6,10
2014/4/16,9:17:24,2231.6,3
2014/4/16,9:17:25,2231.6,7
2014/4/16,9:17:25,2231.6,4
2014/4/16,9:17:26,2231.6,31
2014/4/16,9:17:26,2231.8,13
2014/4/16,9:17:27,2231.8,1
2014/4/16,9:17:27,2232.0,2
2014/4/16,9:17:28,2232.0,20
2014/4/16,9:17:28,2231.8,4
2014/4/16,9:17:29,2231.6,41
2014/4/16,9:17:29,2231.8,9
2014/4/16,9:17:30,2231.8,1
2014/4/16,9:17:30,2231.8,9
2014/4/16,9:17:31,2232.0,12
2014/4/16,9:17:32,2232.0,3
2014/4/16,9:17:32,2231.8,7
2014/4/16,9:17:33,2232.0,6
2014/4/16,9:17:33,2232.0,8
2014/4/16,9:17:34,2232.0,2
2014/4/16,9:17:34,2232.0,5
2014/4/16,9:17:35,2232.0,6
2014/4/16,9:17:36,2231.8,2
2014/4/16,9:17:36,2232.0,2
2014/4/16,9:17:37,2232.0,2
2014/4/16,9:17:37,2231.8,7
2014/4/16,9:17:38,2232.0,6
2014/4/16,9:17:38,2232.0,6
2014/4/16,9:17:39,2232.0,1
2014/4/16,9:17:39,2232.0,5
2014/4/16,9:17:40,2232.0,5
2014/4/16,9:17:40,2231.8,1
2014/4/16,9:17:41,2232.0,7
2014/4/16,9:17:41,2231.8,14
2014/4/16,9:17:42,2231.8,15
2014/4/16,9:17:42,2231.8,22
2014/4/16,9:17:43,2232.0,4
2014/4/16,9:17:43,2232.0,17
2014/4/16,9:17:44,2232.0,3
2014/4/16,9:17:44,2231.8,6
2014/4/16,9:17:45,2232.0,9
2014/4/16,9:17:45,2231.8,3
2014/4/16,9:17:46,2232.0,9
2014/4/16,9:17:46,2231.8,4
2014/4/16,9:17:47,2232.0,7
2014/4/16,9:17:47,2232.0,9
2014/4/16,9:17:48,2232.0,8
2014/4/16,9:17:48,2231.8,3
2014/4/16,9:17:49,2232.0,6
2014/4/16,9:17:49,2232.0,1
2014/4/16,9:17:50,2232.0,8
2014/4/16,9:17:50,2232.0,8
2014/4/16,9:17:51,2232.2,52
2014/4/16,9:17:51,2232.0,12
2014/4/16,9:17:52,2231.8,25
2014/4/16,9:17:52,2232.0,4
2014/4/16,9:17:53,2232.0,4
2014/4/16,9:17:53,2232.0,1
2014/4/16,9:17:54,2231.8,6
2014/4/16,9:17:54,2232.0,32
2014/4/16,9:17:55,2231.6,3
2014/4/16,9:17:56,2231.6,20
2014/4/16,9:17:56,2231.6,58
2014/4/16,9:17:57,2231.8,12
2014/4/16,9:17:57,2231.6,48
2014/4/16,9:17:58,2231.4,21
2014/4/16,9:17:58,2231.4,16
2014/4/16,9:17:59,2231.4,8
2014/4/16,9:17:59,2231.4,23
2014/4/16,9:18:00,2231.4,6
2014/4/16,9:18:00,2231.4,42
2014/4/16,9:18:01,2231.4,6
2014/4/16,9:18:01,2231.4,17
2014/4/16,9:18:02,2231.6,5
2014/4/16,9:18:02,2231.6,36
2014/4/16,9:18:03,2231.4,7
2014/4/16,9:18:03,2231.4,2
2014/4/16,9:18:04,2231.4,4
2014/4/16,9:18:04,2231.6,4
2014/4/16,9:18:05,2231.6,6
2014/4/16,9:18:05,2231.4,5
2014/4/16,9:18:06,2231.6,6
2014/4/16,9:18:06,2231.6,2
2014/4/16,9:18:07,2231.6,1
2014/4/16,9:18:07,2231.4,2
2014/4/16,9:18:08,2231.8,1
2014/4/16,9:18:08,2231.6,2
2014/4/16,9:18:09,2231.6,13
2014/4/16,9:18:09,2231.4,7
2014/4/16,9:18:10,2231.8,4
2014/4/16,9:18:10,2231.8,2
2014/4/16,9:18:11,2231.4,2
2014/4/16,9:18:11,2231.4,5
2014/4/16,9:18:12,2231.8,3
2014/4/16,9:18:12,2231.8,16
2014/4/16,9:18:13,2231.6,11
2014/4/16,9:18:13,2231.8,28
2014/4/16,9:18:14,2231.6,7
2014/4/16,9:18:14,2231.8,5
2014/4/16,9:18:15,2232.0,2
2014/4/16,9:18:15,2231.8,1
2014/4/16,9:18:16,2232.0,7
2014/4/16,9:18:16,2232.0,4
2014/4/16,9:18:17,2232.0,4
2014/4/16,9:18:17,2232.0,2
2014/4/16,9:18:18,2231.8,13
2014/4/16,9:18:18,2232.0,3
2014/4/16,9:18:19,2232.0,2
2014/4/16,9:18:19,2232.0,6
2014/4/16,9:18:20,2232.0,13
2014/4/16,9:18:20,2232.0,12
2014/4/16,9:18:21,2232.0,10
2014/4/16,9:18:22,2231.8,3
2014/4/16,9:18:22,2232.0,6
2014/4/16,9:18:23,2232.0,15
2014/4/16,9:18:23,2232.0,15
2014/4/16,9:18:24,2232.2,13
2014/4/16,9:18:24,2232.0,7
2014/4/16,9:18:25,2232.0,13
2014/4/16,9:18:25,2232.0,1
2014/4/16,9:18:26,2232.0,13
2014/4/16,9:18:27,2232.0,3
2014/4/16,9:18:27,2232.2,2
2014/4/16,9:18:28,2232.2,2
2014/4/16,9:18:28,2232.2,12
2014/4/16,9:18:29,2232.2,9
2014/4/16,9:18:29,2232.2,9
2014/4/16,9:18:30,2232.0,2
2014/4/16,9:18:30,2232.2,1
2014/4/16,9:18:31,2232.2,3
2014/4/16,9:18:31,2232.2,3
2014/4/16,9:18:32,2232.2,11
2014/4/16,9:18:32,2232.2,6
2014/4/16,9:18:33,2232.2,2
2014/4/16,9:18:33,2232.0,11
2014/4/16,9:18:34,2232.2,11
2014/4/16,9:18:34,2232.2,18
2014/4/16,9:18:35,2231.8,7
2014/4/16,9:18:35,2231.8,1
2014/4/16,9:18:36,2232.2,3
2014/4/16,9:18:36,2232.2,2
2014/4/16,9:18:37,2232.2,9
2014/4/16,9:18:38,2232.2,4
2014/4/16,9:18:38,2232.2,9
2014/4/16,9:18:39,2232.2,6
2014/4/16,9:18:39,2232.4,18
2014/4/16,9:18:40,2232.4,3
2014/4/16,9:18:40,2232.0,9
2014/4/16,9:18:41,2231.8,19
2014/4/16,9:18:41,2232.2,7
2014/4/16,9:18:42,2232.2,1
2014/4/16,9:18:42,2232.0,20
2014/4/16,9:18:43,2232.2,9
2014/4/16,9:18:43,2232.0,3
2014/4/16,9:18:44,2232.2,2
2014/4/16,9:18:44,2232.0,2
2014/4/16,9:18:45,2232.0,4
2014/4/16,9:18:45,2232.0,2
2014/4/16,9:18:46,2231.8,12
2014/4/16,9:18:46,2232.2,30
2014/4/16,9:18:47,2232.2,2
2014/4/16,9:18:47,2232.2,1
2014/4/16,9:18:48,2232.4,11
2014/4/16,9:18:48,2232.4,3
2014/4/16,9:18:49,2232.4,7
2014/4/16,9:18:49,2232.4,5
2014/4/16,9:18:50,2232.2,4
2014/4/16,9:18:50,2232.0,6
2014/4/16,9:18:51,2232.0,4
2014/4/16,9:18:51,2232.2,10
2014/4/16,9:18:52,2232.2,3
2014/4/16,9:18:52,2232.2,5
2014/4/16,9:18:53,2232.2,3
2014/4/16,9:18:53,2232.2,8
2014/4/16,9:18:54,2232.2,4
2014/4/16,9:18:54,2232.4,3
2014/4/16,9:18:55,2232.0,11
2014/4/16,9:18:55,2232.0,52
2014/4/16,9:18:56,2231.8,14
2014/4/16,9:18:56,2231.8,3
2014/4/16,9:18:57,2232.0,2
2014/4/16,9:18:57,2232.0,22
2014/4/16,9:18:58,2232.0,1
2014/4/16,9:18:58,2232.0,9
2014/4/16,9:18:59,2232.0,9
2014/4/16,9:18:59,2232.0,2
2014/4/16,9:19:00,2231.8,10
2014/4/16,9:19:00,2231.8,26
2014/4/16,9:19:01,2232.0,10
2014/4/16,9:19:01,2231.8,2
2014/4/16,9:19:02,2232.0,1
2014/4/16,9:19:02,2231.8,4
2014/4/16,9:19:03,2231.8,3
2014/4/16,9:19:04,2231.8,5
2014/4/16,9:19:04,2231.8,5
2014/4/16,9:19:05,2231.8,9
2014/4/16,9:19:05,2231.6,2
2014/4/16,9:19:06,2231.8,8
2014/4/16,9:19:06,2231.6,8
2014/4/16,9:19:07,2231.6,9
2014/4/16,9:19:07,2231.4,13
2014/4/16,9:19:08,2231.4,15
2014/4/16,9:19:08,2231.4,7
2014/4/16,9:19:09,2231.6,10
2014/4/16,9:19:09,2231.4,14
2014/4/16,9:19:10,2231.2,22
2014/4/16,9:19:10,2231.2,27
2014/4/16,9:19:11,2231.2,5
2014/4/16,9:19:11,2231.2,15
2014/4/16,9:19:12,2231.2,7
2014/4/16,9:19:12,2231.2,9
2014/4/16,9:19:13,2231.2,3
2014/4/16,9:19:13,2231.4,8
2014/4/16,9:19:14,2231.4,14
2014/4/16,9:19:14,2231.2,54
2014/4/16,9:19:15,2231.0,51
2014/4/16,9:19:15,2231.0,12
2014/4/16,9:19:16,2231.0,17
2014/4/16,9:19:16,2231.0,16
2014/4/16,9:19:17,2231.0,8
2014/4/16,9:19:17,2231.0,3
2014/4/16,9:19:18,2231.0,10
2014/4/16,9:19:18,2230.8,32
2014/4/16,9:19:19,2230.8,32
2014/4/16,9:19:19,2230.8,48
2014/4/16,9:19:20,2230.6,12
2014/4/16,9:19:20,2230.6,20
2014/4/16,9:19:21,2230.6,19
