0	3
10	6
20	8
30	9
40	12
50	14
60	14
70	15
80	16
90	16
100	17
110	17
120	18
130	19
140	19
150	20
160	20
170	21
180	21
190	21
200	21
210	21
220	21
230	21
240	21
250	21
260	22
270	22
280	22
290	22
300	22
310	22
320	22
330	22
340	22
350	23
360	23
370	24
380	24
390	24
400	24
410	24
420	24
430	24
440	24
450	24
460	24
470	24
480	24
490	24
500	24
510	24
520	24
530	24
540	24
550	24
560	24
570	24
580	24
590	24
600	24
610	24
620	24
630	24
640	24
650	24
660	24
670	24
680	24
690	24
700	24
710	24
720	24
730	24
740	24
750	24
760	24
770	24
780	24
790	24
800	24
810	24
820	24
830	24
840	24
850	24
860	24
870	24
880	24
890	24
900	24
910	24
920	24
930	24
940	24
950	24
960	24
970	24
980	24
990	24
1000	24
